Tahun;Bulan;BI_Rate;Inflasi;Nilai_Tukar;IHSG;JII;M2;Harga_Emas;Harga_Minyak;Dow_Jones_index;Return_JII
2015;Januari;7.75;6.96;12562;5289.403809;706.679993;4174825.91;1280;48.24;17164.95;0.021820319
;Februari;7.5;6.29;12799;5450.293945;722.099976;4218122.76;1214;49.76;18132.7;0.021820319
;Maret;7.5;6.38;13019;5518.674805;728.200012;4246361.19;1184.1;47.6;17776.12;0.008447634
;April;7.5;6.79;12872;5086.424805;664.799988;4275711.11;1183.4;59.63;17840.52;-0.087064025
;Mei;7.5;7.15;13145;5216.378906;698.070007;4288369.26;1190.7;60.3;18010.68;0.050045156
;Juni;7.5;7.26;13265;4910.658203;656.98999;4358801.51;1172.8;59.47;17619.51;-0.05884799
;Juli;7.5;7.26;13414;4802.528809;641.969971;4373208.1;1095.1;47.12;17689.86;-0.022861869
;Agustus;7.5;7.18;13957;4509.606934;598.280029;4404085.03;1132.5;49.2;16528.03;-0.068056052
;September;7.5;6.83;14584;4223.908203;556.090027;4508603.17;1116;45.09;16284.7;-0.070518821
;Oktober;7.5;6.25;13571;4455.180176;586.099976;4443078.08;1142.3;46.59;17663.54;0.05396599
;November;7.5;4.89;13771;4446.458008;579.799988;4452324.65;1066;41.65;17719.92;-0.010748999
;Desember;7.5;3.35;13726;4593.007813;603.349976;4548800.27;1060.8;37.04;17425.03;0.040617434
2016;Januari;7.25;4.14;13777;4615.163086;612.75;4498361.28;1116.8;33.62;16466.3;0.015579721
;Februari;7;4.42;13328;4770.956055;641.859985;4521951.2;1235.1;33.75;16516.5;0.047507115
;Maret;6.75;4.45;13210;4845.371094;652.690002;4561872.52;1237;38.34;17685.09;0.016872865
;April;6.75;3.6;13138;4838.583008;653.26001;4581877.87;1292.6;45.92;17773.64;0.000873321
;Mei;6.75;3.33;13547;4796.869141;648.849976;4614061.82;1220.3;49.1;17787.2;-0.00675081
;Juni;6.5;3.45;13114;5016.646973;694.340027;4737451.23;1324;48.33;17929.99;0.070108735
;Juli;6.5;3.21;13029;5215.994141;726.609985;4730379.68;1357.5;41.6;18432.24;0.046475728
;Agustus;5.25;2.79;13233;5386.082031;746.869995;4746026.68;1311.4;44.7;18400.88;0.027882923
;September;5;3.07;12933;5364.804199;739.690002;4737630.76;1320.9;48.24;18308.15;-0.009613444
